Date,Cluster,Rainfall,RainfallCheck
2023-06-01,1,0.0,0
2023-06-02,0,0.0,0
2023-06-03,1,0.0,0
2023-06-04,1,0.0,0
2023-06-05,1,0.0,0
2023-06-06,1,0.0,0
2023-06-07,0,0.0,0
2023-06-08,0,1.9,1
2023-06-09,1,1.2,1
2023-06-10,1,0.8,1
2023-06-11,1,32.2,1
2023-06-12,1,0.0,0
2023-06-13,1,0.0,0
2023-06-14,0,30.6,1
2023-06-15,1,0.0,0
2023-06-16,1,0.0,0
2023-06-17,1,0.0,0
2023-06-18,1,0.0,0
2023-06-19,2,0.0,0
2023-06-20,0,6.4,1
2023-06-21,0,24.9,1
2023-06-22,1,0.0,0
2023-06-23,2,0.0,0
2023-06-24,2,0.0,0
2023-06-25,2,0.0,0
2023-06-26,0,30.3,1
2023-06-27,2,2.5,1
2023-06-28,2,0.0,0
2023-06-29,0,63.8,1
2023-06-30,0,1.0,1
2023-07-01,2,0.0,0
2023-07-02,2,0.0,0
2023-07-03,2,0.0,0
2023-07-04,0,61.8,1
2023-07-05,2,15.3,1
2023-07-06,2,0.0,0
2023-07-07,2,0.0,0
2023-07-08,2,0.0,0
2023-07-09,0,47.5,1
2023-07-10,2,11.5,1
2023-07-11,0,58.3,1
2023-07-12,0,0.7,1
2023-07-13,0,91.6,1
2023-07-14,0,72.7,1
2023-07-15,0,2.3,1
2023-07-16,0,9.7,1
2023-07-17,0,1.4,1
2023-07-18,0,2.3,1
2023-07-19,2,0.0,0
2023-07-20,2,0.0,0
2023-07-21,2,0.0,0
2023-07-22,2,12.3,1
2023-07-23,0,40.2,1
2023-07-24,2,0.4,1
2023-07-25,2,5.6,1
2023-07-26,2,1.0,1
2023-07-27,2,0.0,0
2023-07-28,2,0.0,0
2023-07-29,2,0.0,0
2023-07-30,2,25.0,1
2023-07-31,2,0.3,1
2024-06-01,1,0.0,0
2024-06-02,1,0.0,0
2024-06-03,1,0.0,0
2024-06-04,1,0.0,0
2024-06-05,1,0.0,0
2024-06-06,1,0.0,0
2024-06-07,1,0.8,1
2024-06-08,0,16.9,1
2024-06-09,1,0.0,0
2024-06-10,1,0.0,0
2024-06-11,1,0.0,0
2024-06-12,1,0.0,0
2024-06-13,1,0.0,0
2024-06-14,1,0.0,0
2024-06-15,2,6.1,1
2024-06-16,1,0.0,0
2024-06-17,1,0.0,0
2024-06-18,1,0.0,0
2024-06-19,2,0.0,0
2024-06-20,2,0.0,0
2024-06-21,2,0.0,0
2024-06-22,0,16.5,1
2024-06-23,2,5.1,1
2024-06-24,1,0.0,0
2024-06-25,1,0.0,0
2024-06-26,1,0.0,0
2024-06-27,1,0.0,0
2024-06-28,1,0.0,0
2024-06-29,2,38.3,1
2024-06-30,0,32.2,1
2024-07-01,2,0.0,0
2024-07-02,0,65.1,1
2024-07-03,0,0.8,1
2024-07-04,2,3.6,1
2024-07-05,0,4.1,1
2024-07-06,0,2.8,1
2024-07-07,0,28.7,1
2024-07-08,0,21.1,1
2024-07-09,0,0.3,1
2024-07-10,2,1.4,1
2024-07-11,2,0.0,0
2024-07-12,0,0.0,0
2024-07-13,2,0.0,0
2024-07-14,2,0.4,1
2024-07-15,2,0.0,0
2024-07-16,2,17.0,1
2024-07-17,0,98.8,1
2024-07-18,0,128.8,1
2024-07-19,2,0.1,1
2024-07-20,2,14.9,1
2024-07-21,0,8.5,1
2024-07-22,0,79.9,1
2024-07-23,0,2.0,1
2024-07-24,2,14.7,1
2024-07-25,2,25.3,1
2024-07-26,2,5.5,1
2024-07-27,2,33.5,1
2024-07-28,2,0.0,0
2024-07-29,0,0.0,0
2024-07-30,2,0.0,0
2024-07-31,2,0.0,0
